Qty	Value	Device	Package	Parts	Description	DESCRIPTION	HEIGHT	MANUFACTURER_NAME	MANUFACTURER_PART_NUMBER	MF	MOUSER_PART_NUMBER	MPN	OC_FARNELL	OC_NEWARK	PROD_ID	SPICEPREFIX	VALUE
1	bGND	PINHD-1X2	1X02	JP21	PIN HEADER												
1	bMIDI	PINHD-1X2	1X02	JP5	PIN HEADER												
1	tGND	PINHD-1X2	1X02	JP22	PIN HEADER												
1	tMIDI	PINHD-1X2	1X02	JP6	PIN HEADER												
1	bAna1	PINHD-1X4	1X04	JP9	PIN HEADER												
1	bAna2	PINHD-1X4	1X04	JP11	PIN HEADER												
1	bClk	PINHD-1X4	1X04	JP15	PIN HEADER												
1	bVOCT	PINHD-1X4	1X04	JP7	PIN HEADER												
1	tAna1	PINHD-1X4	1X04	JP10	PIN HEADER												
1	tAna2	PINHD-1X4	1X04	JP12	PIN HEADER												
1	tClk	PINHD-1X4	1X04	JP16	PIN HEADER												
1	tVOCT	PINHD-1X4	1X04	JP8	PIN HEADER												
1	bGate1	PINHD-1X5	1X05	JP13	PIN HEADER												
1	tGate1	PINHD-1X5	1X05	JP14	PIN HEADER												
1	bDig1	PINHD-1X6	1X06	JP17	PIN HEADER												
1	bDig2	PINHD-1X6	1X06	JP18	PIN HEADER												
1	tDig1	PINHD-1X6	1X06	JP19	PIN HEADER												
1	tDig2	PINHD-1X6	1X06	JP20	PIN HEADER												
1	ICSP	PINHD-2X3	2X03	JP1	PIN HEADER												
1	10 Pin Power	PINHD-2X5	2X05	JP3	PIN HEADER												
2	3306P-1-103 (10K)	3306P-1-103	3306P1103	"R7, R12"	"3306P 1-turn cermet trimmer,10K 300mW Bourns 3306P Series Through Hole Cermet Trimmer Resistor with Pin Terminations, 10k 25% 1/5W 250ppm/C Top Adjust"	"3306P 1-turn cermet trimmer,10K 300mW Bourns 3306P Series Through Hole Cermet Trimmer Resistor with Pin Terminations, 10k 25% 1/5W 250ppm/C Top Adjust"	8mm	Bourns	3306P-1-103		652-3306P-1-103						
12	100nF	C-EUC1206	C1206	"C1, C6, C7, C9, C10, C11, C20, C21, C24, C25, C27, C28"	"CAPACITOR, European symbol"											C	
8	10nF	C-EUC1206	C1206	"C12, C13, C14, C15, C16, C17, C18, C19"	"CAPACITOR, European symbol"											C	
2	22pF	C-EUC1206	C1206	"C2, C3"	"CAPACITOR, European symbol"											C	
2	33nF	C-EUC1206	C1206	"C22, C23"	"CAPACITOR, European symbol"											C	
1	6N138	6N138	DIL08	OK1	MOTOROLA OPTO COUPLER					VISHAY/TELEFUNKEN		6N138	9860150	35K5294		X	
1	328P	ATMEGA328P_PDIP	DIP28	U1	Atmel 328P										IC-09136		328P
